fecha,tv,radio,prensa,exterior,awareness,tom,personas,inv_savital,inv_pantene,inv_nutribela,tom_savital,tom_pantene,tom_nutribela
2023-01-01,10000000,0,0,0,0.52,0.078,3900,6500000,2800000,700000,0.052,0.018,0.008
2023-02-01,13500000,0,0,75000,0.51,0.094,5400,8200000,4100000,1200000,0.061,0.021,0.012
2023-03-01,19000000,0,80000,55000,0.50,0.105,6100,11500000,5500000,1900000,0.069,0.024,0.012
2023-04-01,14500000,0,0,82000,0.54,0.120,4800,9000000,4200000,1300000,0.079,0.028,0.013
2023-05-01,16000000,0,0,210000,0.50,0.089,4700,9500000,4800000,1700000,0.058,0.020,0.011
2023-06-01,15000000,0,0,265000,0.61,0.123,5100,9200000,4400000,1400000,0.081,0.029,0.013
2023-07-01,10500000,0,0,160000,0.59,0.091,4100,6400000,3100000,1000000,0.060,0.021,0.010
2023-08-01,13500000,0,0,83000,0.61,0.119,4900,8300000,3900000,1300000,0.078,0.028,0.013
2023-09-01,12000000,0,0,325000,0.61,0.114,4300,7200000,3500000,1300000,0.075,0.027,0.012
2023-10-01,13000000,0,0,46000,0.60,0.122,4800,7900000,3800000,1300000,0.080,0.029,0.013
2023-11-01,14000000,0,0,500000,0.59,0.133,5900,8600000,4100000,1300000,0.087,0.032,0.014
2023-12-01,9000000,0,0,28000,0.60,0.135,3400,5500000,2700000,800000,0.088,0.032,0.015
2024-01-01,12500000,0,0,225000,0.61,0.119,5300,7700000,3600000,1200000,0.078,0.028,0.013
2024-02-01,13500000,0,0,212000,0.60,0.119,5400,8200000,3900000,1400000,0.078,0.028,0.013
2024-03-01,13500000,0,0,183000,0.53,0.097,5900,8200000,3900000,1300000,0.064,0.023,0.010
2024-04-01,12000000,0,0,44000,0.57,0.102,5100,7200000,3500000,1300000,0.067,0.024,0.011
2024-05-01,27000000,0,34000,0,0.56,0.107,7700,16500000,7800000,2700000,0.070,0.025,0.012
2024-06-01,35000000,0,0,285000,0.49,0.091,7700,21500000,10100000,3400000,0.060,0.021,0.010
2024-07-01,27000000,0,0,124000,0.54,0.118,7200,16400000,7800000,2800000,0.077,0.028,0.013
2024-08-01,22500000,0,0,297000,0.57,0.130,8300,13700000,6500000,2300000,0.085,0.031,0.014
2024-09-01,35000000,75000,0,34000,0.54,0.123,7700,21300000,10100000,3600000,0.081,0.029,0.013
2024-10-01,34500000,262000,0,33000,0.57,0.122,8600,21000000,9900000,3500000,0.080,0.029,0.013
2024-11-01,24000000,160000,0,137000,0.56,0.109,6700,14700000,6900000,2400000,0.072,0.026,0.011
2024-12-01,13500000,0,0,214000,0.55,0.118,3600,8300000,3900000,1300000,0.077,0.028,0.013
2025-01-01,19000000,0,0,30000,0.58,0.136,5600,11500000,5500000,1900000,0.089,0.032,0.015
2025-02-01,18000000,62000,0,0,0.55,0.121,6000,10900000,5200000,1900000,0.079,0.029,0.013
2025-03-01,37500000,352000,0,37000,0.54,0.127,7600,22900000,10800000,3800000,0.083,0.030,0.014
2025-04-01,25000000,248000,0,16000,0.58,0.115,8500,15300000,7200000,2500000,0.076,0.027,0.012
2025-05-01,10500000,0,0,17000,0.59,0.089,4600,6400000,3100000,1000000,0.059,0.021,0.009
2025-06-01,7000000,96000,0,0,0.61,0.113,3400,4300000,2000000,700000,0.074,0.027,0.012
2025-07-01,27000000,232000,0,0,0.54,0.066,5700,16400000,7800000,2800000,0.044,0.016,0.006
2025-08-01,29000000,163000,0,0,0.51,0.085,6200,17700000,8300000,3000000,0.056,0.020,0.009
2025-09-01,33500000,707000,0,71000,0.52,0.072,7500,20500000,9600000,3400000,0.047,0.017,0.008
